时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
42514.973,615,277.42,18.19,5.3,1
42515.036,646,285.25,22.57,5.3,1
42515.122,770,295.33,11.57,5.3,1
42515.247,882,310.61,14.02,7,1
42515.247,823,310.14,17.08,5.3,1
42515.267,893,312.93,15.72,5.3,1
42515.289,785,315.15,11.73,5.3,1
42515.289,480,316.73,24.75,5.3,1
42515.312,1388,316.74,8.33,9.6,1
42515.312,790,317.9,18.29,5.3,1
42515.351,1243,321.36,11.13,6,1
42515.351,784,322.71,15.59,5.3,1
42515.351,532,322.96,25.63,5.3,1
42515.394,421,328,27.85,5.3,1
42515.435,781,333.32,18.11,5.3,1
42515.456,574,335.63,25.06,5.3,1
42515.477,602,338.17,21.87,5.3,1
42515.53,2100,344.17,5.8,6,1
42515.54,1052,344.18,9.07,6,1
42515.54,1359,344.89,8.33,6,1
42515.54,965,346.04,13.42,5.3,1
42515.562,1298,347.17,6.98,6,1
42515.562,722,348.07,12.79,5.3,1
42515.562,709,348.08,15.65,5.3,1
42515.562,456,348.08,20.82,5.3,1
42515.603,1933,352.52,7.13,6,1
42515.634,1896,357.37,7.26,10.8,1
42515.645,752,359.91,19.11,5.3,1
42515.656,3022,359.72,4.59,8.4,1
42515.707,560,5.78,19.62,5.3,1
42515.729,859,10.19,15.18,5.3,1
42515.729,433,9.29,21.89,5.3,1
42515.812,980,18.42,11.27,5.3,1
42515.854,1512,22.12,9.49,6,1
42515.854,843,23.47,12.65,5.3,1
42515.875,1372,24.98,9.55,6,1
42515.939,1033,33.57,12.16,5.3,1
42515.939,652,33.83,15.54,8.8,1
42515.939,671,33.59,20.7,5.3,1
42515.98,1272,38.38,10.08,7,1
42516.002,974,41.4,13.09,5.3,1
42516.042,1102,46.53,11.25,5.3,1
42516.064,1316,48.8,9.91,5.3,1
42517.889,600,270.27,15.26,5.3,2
42517.91,620,272.52,14.2,5.3,2
42518.078,414,292.96,22.89,5.3,2
42518.098,344,296.78,28,7,2
42518.224,901,310.5,13.53,7,2
42518.246,783,313.06,12.02,5.3,2
42518.246,914,312.84,15.28,7,2
42518.246,601,316.76,15.06,5.3,2
42518.246,805,315.9,17.48,5.3,2
42518.246,433,313.12,25.35,5.3,2
42518.309,1080,320.65,10.27,8.8,2
42518.309,833,320.38,14.69,5.3,2
42518.331,898,323.37,13.39,5.3,2
42518.351,474,325.65,20.14,5.3,2
42518.372,1170,327.89,10.61,5.3,2
42518.413,801,333.13,17.93,5.3,2
42518.434,611,335.67,15.45,7,2
42518.434,586,335.69,23.62,5.3,2
42518.456,555,338.52,24.39,5.3,2
42518.497,1779,341.75,8.07,7.2,2
42518.508,2115,344.28,5.58,6,2
42518.519,1375,344.63,7.62,6,2
42518.519,720,347.26,15.74,5.3,2
42518.56,1531,349.39,7.89,6,2
42518.56,1294,352.3,8.04,6,2
42518.57,2286,352.28,5.43,7.2,2
42518.591,2233,354.45,3.91,9.6,2
42518.591,2255,354.77,5.11,7.2,2
42518.664,663,3.42,17.65,8.8,2
42518.685,970,6.18,12.45,7,2
42518.685,1660,4.94,8.01,6,2
42518.685,783,5.9,14.81,5.3,2
42518.706,373,8.46,25.81,5.3,2
42518.727,1207,10.02,8.59,6,2
42518.738,3069,12.83,4.22,6,2
42518.769,767,16.29,17.72,7,2
42518.812,539,21.37,18.95,5.3,2
42518.897,1046,31.43,12.19,5.3,2
42518.897,685,31.66,20.2,5.3,2
42518.958,1494,37.41,9.46,6,2
42520.888,622,272.82,14.74,7,3
42520.992,904,285.71,11.81,5.3,3
42521.014,671,287.76,21.78,5.3,3
42521.034,819,290.57,12.84,5.3,3
42521.16,475,305.91,27.84,5.3,3
42521.202,922,310.47,13.26,5.3,3
42521.223,1210,313.36,10.93,5.3,3
42521.223,795,312.88,11.45,5.3,3
42521.223,812,312.88,17.27,5.3,3
42521.244,833,314.39,10.86,6,3
42521.266,611,321.45,17.19,5.3,3
42521.286,559,320.71,24.1,5.3,3
42521.307,875,323.46,11.92,5.3,3
42521.307,486,322.97,19.79,5.3,3
42521.349,1040,328.49,13.69,5.3,3
42521.37,811,331.02,17.47,5.3,3
42521.391,856,333.59,12.46,5.3,3
42521.402,2186,334.28,6.33,6,3
42521.413,602,337.17,23.55,5.3,3
42521.413,324,335.8,28.87,5.3,3
42521.433,1143,340.98,8.6,6,3
42521.475,1003,343.51,13.41,5.3,3
42521.496,1392,344.73,7.74,6,3
42521.496,1153,346.29,10.79,5.3,3
42521.496,733,345.81,14.93,5.3,3
42521.517,842,348.83,11.77,5.3,3
42521.538,997,351.36,10.87,5.3,3
42521.548,2012,352.77,6.11,7.2,3
42521.581,1035,356.16,13.84,5.3,3
42521.581,680,356.22,19.52,7,3
42521.59,1940,357.57,7.04,10.8,3
42521.61,2269,0.09,5.07,6,3
42521.664,1060,6.05,9.73,5.3,3
42521.706,763,11.12,15.34,5.3,3
42521.716,1616,12.61,5.85,8.4,3
42521.837,310,26.8,30.11,5.3,3
42521.853,702,29.31,19.52,5.3,3
42521.958,1022,41.72,11.04,5.3,3
42523.866,639,273.15,14.82,8.8,4
42524.055,811,295.41,10.81,5.3,4
42524.16,941,308.25,14.64,8.8,4
42524.181,940,310.42,13.07,5.3,4
42524.202,1224,313.17,10.59,5.3,4
42524.202,830,313.41,11.35,5.3,4
42524.202,782,313.41,14.79,5.3,4
42524.202,826,312.94,17.05,5.3,4
42524.223,1166,315.92,10.26,7,4
42524.223,630,315.93,16.37,5.3,4
42524.285,893,323.02,13.74,5.3,4
42524.306,618,325.54,17.07,5.3,4
42524.327,565,328.54,18.68,5.3,4
42524.348,824,331.04,16.68,5.3,4
42524.371,869,333.13,11.88,5.3,4
42524.39,1551,334.3,7.6,6,4
42524.39,631,335.59,20.86,5.3,4
42524.401,2349,336.8,4.57,6,4
42524.412,620,338.2,22.87,5.3,4
42524.453,753,343.55,14.34,5.3,4
42524.453,733,343.56,14.49,5.3,4
42524.453,682,343.3,17.28,7,4
42524.464,1952,344.87,6.33,6,4
42524.474,773,345.84,17.83,5.3,4
42524.494,852,348.38,11.17,5.3,4
42524.494,550,348.88,17.1,5.3,4
42524.537,1317,353.95,7.96,6,4
42524.537,1059,353.47,11.43,5.3,4
42524.621,1393,2.25,8.27,6,4
42524.664,775,9.16,14.78,5.3,4
42524.705,320,14.22,29.57,5.3,4
42524.726,650,16.72,13.39,7,4
42524.726,856,16.24,15.99,7,4
42524.747,781,18.99,18.37,5.3,4
42524.788,1322,22.47,9.16,8.4,4
42524.831,719,28.87,18.23,5.3,4
42524.893,685,36.93,14.38,5.3,4
42524.925,1550,40.15,7.73,7.2,4
42524.956,1330,43.43,8.12,6,4
42524.956,1134,44.07,11.7,5.3,4
42524.967,1300,47.7,7.14,6,4
42527.139,964,310.17,12.88,5.3,5
42527.179,1240,313.05,10.47,5.3,5
42527.179,532,313.06,21.9,5.3,5
42527.201,643,317.97,15.9,5.3,5
42527.242,634,322.84,16.69,5.3,5
42527.263,902,323.34,11.48,5.3,5
42527.306,1160,327.15,10.19,6,5
42527.315,1240,329.33,7.05,6,5
42527.315,1991,330.02,4.79,7.2,5
42527.347,625,333.74,17.84,5.3,5
42527.368,1174,338.7,8.98,6,5
42527.451,592,345.98,23.15,5.3,5
42527.494,1402,349.67,9.61,7.2,5
42527.525,1925,354.71,7.45,6,5
42527.536,925,356.32,11.77,5.3,5
42527.536,944,356.29,15.28,8.8,5
42527.546,2504,357.24,4.9,7.2,5
42527.557,651,358.6,14.86,5.3,5
42527.641,791,8.73,13.17,5.3,5
42527.779,1970,25.09,5.6,6,5
42527.788,736,26.72,17.69,5.3,5
42527.872,1311,37.03,10.55,5.3,5
42527.934,1343,43.51,8.47,6,5
42529.843,689,275.91,13.29,8.8,6
42529.969,583,290.56,17.01,5.3,6
42530.011,854,296.08,10.65,7,6
42530.032,829,296.78,10.46,6,6
42530.116,986,310.48,12.25,7,6
42530.179,662,315.69,14.66,5.3,6
42530.2,852,319.04,11.73,5.3,6
42530.2,825,318.68,14.63,5.3,6
42530.242,941,323.45,14.56,7,6
42530.242,650,323.22,16.34,5.3,6
42530.262,1246,324.77,7.97,6,6
42530.262,860,325.93,14.71,5.3,6
42530.284,1124,328.24,12.22,8.8,6
42530.305,1439,329.53,7.15,7.2,6
42530.326,1278,333.31,10.26,5.3,6
42530.347,599,335.81,20.74,5.3,6
42530.389,1051,341.41,12.91,5.3,6
42530.409,1193,342.12,8.63,6,6
42530.409,1175,343.48,11.6,7,6
42530.45,733,348.6,14.89,5.3,6
42530.471,612,351.32,16.16,5.3,6
42530.516,990,356.48,14.38,5.3,6
42530.535,593,359.04,19.81,5.3,6
42530.545,2323,359.91,5.35,6,6
42530.545,1824,359.91,7.19,6,6
42530.578,321,3.82,33.9,5.3,6
42530.619,810,8.84,12.15,5.3,6
42530.733,1399,22.63,6.69,6,6
42530.744,1110,22.94,8.12,6,6
42530.744,754,24.48,16.95,5.3,6
42530.744,352,24.49,25.58,5.3,6
42530.831,714,34.31,12.75,7,6
42530.849,1323,36.66,10.16,5.3,6
42530.849,1140,36.87,11.78,-5.3,6
42530.859,1595,38.15,6.86,7.2,6
42530.913,1240,44.53,11.61,5.3,6
42532.822,713,276.03,13.59,8.8,7
42532.947,614,290.69,14.71,5.3,7
42532.968,433,293.42,21.56,5.3,7
42533.094,972,308.78,14.34,5.3,7
42533.114,1002,310.78,11.77,7,7
42533.136,1274,313.5,10.42,5.3,7
42533.136,825,313.3,13.28,5.3,7
42533.136,524,313.8,24.96,5.3,7
42533.177,865,318.58,11.26,5.3,7
42533.177,845,318.81,15.62,5.3,7
42533.219,925,323.33,11.83,5.3,7
42533.261,1133,328.9,10.89,5.3,7
42533.282,891,330.88,14.46,5.3,7
42533.303,1853,332.42,7.75,9.6,7
42533.303,1300,333.56,10.56,5.3,7
42533.303,854,333.41,12.19,8.8,7
42533.325,1212,339.77,7.99,6,7
42533.345,1133,337.17,8.37,6,7
42533.367,1070,341.04,13.31,5.3,7
42533.367,619,341.55,23.77,5.3,7
42533.388,614,343.62,21.54,5.3,7
42533.408,1261,344.77,7.31,6,7
42533.408,1326,345.08,10.66,8.4,7
42533.408,986,349.03,14.09,5.3,7
42533.429,611,349.17,14.78,5.3,7
42533.482,1855,356.15,7.17,-6,7
42533.492,633,357.55,16.13,5.3,7
42533.515,1373,357.47,8.46,7.2,7
42533.639,819,14.24,17.11,7,7
42533.702,1008,21.55,11.5,5.3,7
42533.754,1949,27.78,5.09,6,7
42533.787,1257,32.16,10.34,5.3,7
42533.787,720,31.69,13.32,7,7
42533.89,1172,43,10.5,6,7
42535.736,801,268.55,11.78,-5.3,8
42536.072,1013,309.99,11.4,7,8
42536.072,990,308.94,14.02,7,8
42536.113,1278,312.1,9.44,6,8
42536.113,879,317.32,11.31,5.3,8
42536.113,695,313.68,13.64,5.3,8
42536.113,353,313.58,26.83,5.3,8
42536.135,909,315.95,11.6,7,8
42536.145,1339,317.33,7.13,6,8
42536.176,678,320.98,16.11,5.3,8
42536.198,943,323.49,10.82,5.3,8
