circle,center_position
2,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
3,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
4,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
5,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
6,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
7,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
8,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
9,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
10,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
11,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
12,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
13,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
14,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
15,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
16,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
17,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
18,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
19,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
20,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
21,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
22,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
23,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
24,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
25,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
26,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
27,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
28,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
29,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
30,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
31,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
32,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
33,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
34,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
35,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
36,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
37,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
38,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
39,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
40,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
41,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
42,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
43,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
44,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
45,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
46,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
47,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
48,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
49,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
50,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
51,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
52,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
53,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
54,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
55,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
56,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
57,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
58,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
59,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
60,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
61,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
62,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
63,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
64,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
65,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
66,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
67,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
68,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
69,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
70,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
71,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
72,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
73,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
74,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
75,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
76,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
77,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
78,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
79,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
80,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
81,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
82,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
83,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
84,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
85,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
86,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
87,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
88,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
89,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
90,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
91,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
92,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
93,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
94,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
95,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
96,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
97,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
98,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
99,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
100,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
101,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
102,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
103,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
104,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
105,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
106,"[-1716.837832542369, -930.0699833652807, 159.56074991343672]"
